iter	MultiClass
197	0.888537105
198	0.888013687
199	0.8876873414
200	0.8871242411
201	0.8868299364
202	0.8861315492
203	0.8859170061
204	0.885442278
205	0.8848879874
206	0.8847693364
207	0.8844935844
208	0.8839131233
209	0.8835490778
210	0.8832354965
211	0.882877385
212	0.8824887731
213	0.8820358435
214	0.8815771321
215	0.8812301096
216	0.8807587328
217	0.8804895197
218	0.8799991046
219	0.879570352
220	0.878530072
221	0.8782518171
222	0.8781467563
223	0.8778241057
224	0.8775054208
225	0.8773188102
226	0.8770764682
227	0.876805361
228	0.8762188197
229	0.8759157528
230	0.8756130851
231	0.8753638037
232	0.8751529236
233	0.874647604
234	0.8740112498
235	0.8738028799
236	0.8734350826
237	0.8732013312
238	0.8727064582
239	0.8724252732
240	0.8720331359
241	0.8718975099
242	0.8716776023
243	0.8715030282
244	0.8712148604
245	0.8706897994
246	0.8703207709
247	0.8699599615
248	0.8695000134
249	0.869279414
250	0.8690340765
251	0.8687797035
252	0.8685429513
253	0.8682759052
254	0.8679460697
255	0.8678454451
256	0.8675465594
257	0.8671508258
258	0.866730126
259	0.8663363272
260	0.8661592194
261	0.8658161505
262	0.8654285043
263	0.8651982067
264	0.8648606466
265	0.8637421964
266	0.8633959487
267	0.8630226743
268	0.8624921853
269	0.8620873265
270	0.8618786971
271	0.8613586914
272	0.8612343972
273	0.8609688899
274	0.8607380926
275	0.8605064164
276	0.8601694232
277	0.8600714024
278	0.859739407
279	0.8593150935
280	0.8588397948
281	0.8585180342
282	0.8583236313
283	0.8581274949
284	0.8578935435
285	0.8578039277
286	0.8576054492
287	0.8572481522
288	0.8570147364
289	0.8567890742
290	0.8566037835
291	0.8564380048
292	0.8562830229
293	0.8561271582
294	0.8558549252
295	0.8555742977
296	0.8551068871
297	0.8547663112
298	0.8546356038
299	0.8544311523
300	0.8541983418
301	0.8539850821
302	0.8536300908
303	0.8533366546
304	0.852864506
305	0.8523705573
306	0.8517873205
307	0.8514697935
308	0.8512809068
309	0.8510989242
310	0.8507138752
311	0.8504759188
312	0.8501235538
313	0.8498768132
314	0.8496409807
315	0.8495061384
316	0.8491730008
317	0.8489985202
318	0.8488190942
319	0.8485874204
320	0.8482641623
321	0.8481069035
322	0.8476937846
323	0.8474276274
324	0.84720545
325	0.8469920695
326	0.8468490714
327	0.8466642247
328	0.8462047626
329	0.8460616113
330	0.8458879325
331	0.8457530849
332	0.8451575544
333	0.8447134668
334	0.844505103
335	0.8443432027
336	0.844233455
337	0.8441212077
338	0.843886536
339	0.8437380087
340	0.8435841011
341	0.8427319634
342	0.842562063
343	0.8423409421
344	0.8420058253
345	0.8418114304
346	0.8414903649
347	0.8413406668
348	0.8408349685
349	0.840645851
350	0.8403571373
351	0.8402372701
352	0.8398805881
353	0.8396121607
354	0.8394460854
355	0.8389033469
356	0.8387357124
357	0.8386524777
358	0.8385321193
359	0.8378905358
360	0.8373858394
361	0.8372226708
362	0.8369817343
363	0.8365584347
364	0.8362542295
365	0.8361272455
366	0.8359921987
367	0.8358711412
368	0.8355105145
369	0.8353598009
370	0.8350891207
371	0.8349538403
372	0.8348249779
373	0.8346425103
374	0.8343151899
375	0.8342227433
376	0.8339555405
377	0.8338166278
378	0.8336780356
379	0.8335841353
380	0.833239479
381	0.8330393154
382	0.8327988559
383	0.8324959169
384	0.8323090006
385	0.8321936532
386	0.8321477875
387	0.8319306863
388	0.8317409247
389	0.8316834573
390	0.8316318136
391	0.8314321199
392	0.8311983606
393	0.8310432447
394	0.8308528402
395	0.8307283834
396	0.8305408955
397	0.830395218
398	0.8302472808
399	0.8299943072
400	0.8298210654
401	0.8297762361
402	0.8296444246
403	0.8292517236
404	0.8288757542
405	0.8283362927
406	0.8279046016
407	0.8275599838
408	0.82663075
409	0.8264733205
410	0.8262348221
411	0.8259115673
412	0.8256719544
413	0.8255539677
414	0.825361184
415	0.8251979072
416	0.8247304026
417	0.824624822
418	0.8242633997
419	0.8241411056
420	0.8239874692
421	0.8238356656
422	0.8237129233
423	0.8236443398
424	0.8233826575
425	0.8229368177
426	0.822830024
427	0.8226366628
428	0.8224785925
429	0.8223281939
430	0.8220912441
431	0.8219806361
432	0.8216262459
433	0.8213568321
434	0.8211089022
435	0.8210166939
436	0.8208395282
437	0.820617152
438	0.820456939
439	0.8202940134
440	0.8201370374
441	0.8199368845
442	0.8196742503
443	0.8195431768
444	0.8194325273
445	0.8192432251
446	0.8191460082
447	0.818952056
448	0.8187292383
449	0.8185687581
450	0.8182047994
451	0.8180463176
452	0.8179518367
453	0.8177295432
454	0.8176076892
455	0.8174086139
456	0.817287531
457	0.8171512958
458	0.8170407272
459	0.8167580756
460	0.8163605396
461	0.8162316942
462	0.816034198
463	0.8159314733
464	0.815789992
465	0.8156610078
466	0.8154736449
467	0.8149785349
468	0.8147717619
469	0.8145556389
470	0.8143720674
471	0.8141080875
472	0.8138833417
473	0.8137048602
474	0.8135576802
475	0.8133263832
476	0.8130183078
477	0.8127538556
478	0.8124504006
479	0.8122802057
480	0.8121784643
481	0.812005503
482	0.8116706899
483	0.811039295
484	0.810881395
485	0.8108157023
486	0.8104439343
487	0.8102556504
488	0.8101761903
489	0.8100117397
490	0.8098108072
491	0.8096193551
492	0.8095107296
493	0.8094041255
494	0.8091930748
495	0.8091008497
496	0.8089816956
497	0.8088149844
498	0.8085700935
499	0.8082845459
